De,De error
216.31,9.95
231.08,12.87
227.98,14.04
237.88,13.92
182.53,9.73
266.66,19.79
207.3,12.44
230.26,14.11
218.93,10.16
248.01,16.16
219.94,13.67
231.74,14.26
170.62,9.8
243.89,17.49
203.43,12.34
211.91,13.33
209.61,9.57
254.26,15.68
219.3,13.34
233.29,13.51
183.47,9.98
266.33,20.43
198.19,11.38
218.48,13.88
