De,De error
216.3,9.72
231.08,12.87
227.98,14.04
237.88,13.92
182.53,9.73
266.66,19.79
207.3,12.44
230.26,14.11
215.58,10.26
233.57,13.27
225.64,13.77
237.78,13.95
181.64,9.75
267.14,19.18
206.18,12.23
228.35,14
212.31,10.14
266.32,20.26
204.95,11.98
224.19,13.32
165.93,10.11
228.93,16.87
194.87,12.16
195.38,11.29
