Dose (Gy),LxTx,LxTx.Error,TnTx
0,15.49234,0.65688,1.00000
500,3.69894,0.15684,1.20324
1000,5.99934,0.25437,1.30529
1500,7.79377,0.33046,1.19789
2000,8.31160,0.35241,1.43437
2500,9.15820,0.38831,1.38797
3000,11.09671,0.47050,1.24805
4000,11.95163,0.50675,1.34172
5000,15.08826,0.63974,1.17433
6000,14.70335,0.62342,1.24010
