De,De error
325.39,14.94
140.03,6.5
250.21,11.52
256.16,11.89
236.16,10.71
172,7.9
207.04,11.88
228.94,10.33
244.86,11.11
282.05,12.63
195.47,9.44
299.71,22.89
228.94,10.67
232.45,10.43
224.92,10.3
231.44,10.65
189.57,8.37
296.28,21.3
260.14,14.72
244.65,11.46
243.98,12.99
283.69,16.99
213.79,9.58
207.94,9.52
242.51,13.78
251.93,14.29
230.61,10.89
205.03,10.21
260.1,15.61
226.66,10.49
237.11,11.49
240.93,15.23
227.67,12.47
199.87,9.04
207.99,11.31
232.17,15.09
203.78,9.06
272.26,18.2
200.94,12.02
225.09,13.75
184.6,10.49
228,15.87
186.35,10.54
199.3,12.22
203.39,9.32
192.4,11.91
223.22,13.87
149.84,9.14
221.23,20.21
190.02,12.58
185.99,10.92
235.69,16.65
237.77,16
175.95,10.24
202.84,13.07
135.4,9.56
157.44,9.67
183.8,13.03
161.66,7.45
193.09,10.55
185.26,11.29
118.66,9.26
135.17,8.47
194.07,14.56
167.58,9.51
