Dose (Gy),LxTx,LxTx.Error,TnTx
0,119232,24279.83731,1
500,31677.25,7910.591031,1
1000,51885.5,11872.79893,1
1500,72781.25,13890.69801,1
2000,92884.625,21138.98711,1
2500,97274.625,16530.00621,1
3000,100046.875,23622.63885,1
4000,113161.875,23009.58355,1
5000,123145.625,29003.71396,1
6000,138096.8333,26444.14174,1
